Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_4",2,5,kmeans,arpack,4,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.012333393096923828
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_5",2,5,kmeans,arpack,5,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.013080596923828125
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_6",2,5,kmeans,arpack,6,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.012814998626708984
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_7",2,5,kmeans,arpack,7,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.013083457946777344
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_8",2,5,kmeans,arpack,8,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.011999368667602539
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_9",2,5,kmeans,arpack,9,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.012935400009155273
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_0",2,5,cluster_qr,lobpcg,0,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.025701284408569336
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_1",2,5,cluster_qr,lobpcg,1,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.022183656692504883
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_2",2,5,cluster_qr,lobpcg,2,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.02843308448791504
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_3",2,5,cluster_qr,lobpcg,3,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.02822089195251465
