Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=3k)_0",5,euclidean,3k,0,0.1894079780250939,0.14876513655580442,1.8840143510071496,0.17928279284138532,20.74944161628533,5,0.0662693977355957
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=4k)_0",5,euclidean,4k,0,0.0933132180620082,0.11451891549945983,1.942701683181085,0.16288161683982758,21.205168741280662,5,0.1000518798828125
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=2k)_0",5,manhattan,2k,0,0.13072160099085112,0.16264111381332322,2.1381287172606394,0.12700082958938155,20.030282542184363,5,0.05557084083557129
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=3k)_0",5,manhattan,3k,0,0.13587885360321644,0.15929342108414832,1.9690211359975787,0.17448127544176717,21.744550312198584,5,0.06930208206176758
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=4k)_0",5,manhattan,4k,0,0.14448396833359103,0.13864805045730758,1.9030389766088653,0.17616541936172178,21.61190907284776,5,0.07975649833679199
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=2k)_0",5,clark,2k,0,0.2678480085186429,0.2113364612216235,2.1370174378514846,0.18812850913554846,31.46328203457914,2,0.047635793685913086
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=3k)_0",5,clark,3k,0,0.2678480085186429,0.2113364612216235,2.1370174378514846,0.18812850913554846,31.46328203457914,2,0.06005263328552246
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=4k)_0",5,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.06952738761901855
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=2k)_0",6,euclidean,2k,0,0.06576985604835969,0.12359863941356196,1.9131778215496575,0.1349019296768209,18.949067129137728,6,0.05501246452331543
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=3k)_0",6,euclidean,3k,0,0.08312058394122149,0.13039272709935643,1.9075710860358823,0.17190656236899973,19.741383794691465,6,0.06544017791748047
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=4k)_0",6,euclidean,4k,0,0.09893279891896921,0.15982041834035657,1.915176139388226,0.15127505256026455,17.912110799668422,6,0.06816411018371582
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=2k)_0",6,manhattan,2k,0,0.1463975107413721,0.16311579063583007,1.887403647075754,0.18089326561795366,20.018910077565337,6,0.06972813606262207
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=3k)_0",6,manhattan,3k,0,0.14305927934101856,0.16381465936536,1.927525334258988,0.18314567025336984,20.169434624485376,6,0.0498812198638916
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=4k)_0",6,manhattan,4k,0,0.10374216828994716,0.13509826456864396,1.922885267486069,0.1459853000159084,19.106172627099777,6,0.07130193710327148
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=2k)_0",6,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.05023765563964844
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=3k)_0",6,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.05779552459716797
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=4k)_0",6,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.11124300956726074
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=2k)_0",7,euclidean,2k,0,0.09580357965103398,0.1349219161431459,1.780170781289906,0.17947226836181981,19.07547208680519,7,0.056664466857910156
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=3k)_0",7,euclidean,3k,0,0.09666322778695832,0.16807644232278116,1.8005850407035524,0.15007738637686086,17.966876084819724,7,0.10604524612426758
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=4k)_0",7,euclidean,4k,0,0.10153013110694144,0.15998760582692922,1.7385962129010437,0.1638432493608282,17.58991588563604,7,0.11862492561340332
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=2k)_0",7,manhattan,2k,0,0.14919172249346233,0.15882277050904597,1.7742940528047229,0.17949302341271187,18.265768651484958,7,0.06879115104675293
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=3k)_0",7,manhattan,3k,0,0.08265719427405713,0.12243027425792334,1.8631580346704497,0.14914826955085744,16.863222723009432,7,0.10407447814941406
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=4k)_0",7,manhattan,4k,0,0.08265719427405713,0.12243027425792334,1.8631580346704497,0.14914826955085744,16.863222723009432,7,0.10001969337463379
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=2k)_0",7,clark,2k,0,0.2805295688180852,0.2183825822937583,2.1406384542659453,0.18878574253182093,31.234852382239787,2,0.08348655700683594
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=3k)_0",7,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.09708762168884277
