Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=4k)_0",14,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.3733816146850586
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=2k)_0",15,euclidean,2k,0,0.03618636570051136,0.1282591893085188,1.5068135484947227,0.19011742491092917,13.641548874590734,15,0.17823386192321777
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=3k)_0",15,euclidean,3k,0,0.08186672012850521,0.17031115228356902,1.3293652657076906,0.1281505593462537,12.044034147917206,15,0.2202301025390625
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=4k)_0",15,euclidean,4k,0,0.06239369253768765,0.12999140638534684,1.360625735940548,0.14463298911529007,11.366754012906936,15,0.3552989959716797
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=2k)_0",15,manhattan,2k,0,0.0636126396804637,0.12876063350512484,1.5856290867143004,0.17169252751927436,12.975642321577917,14,0.2020864486694336
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=3k)_0",15,manhattan,3k,0,0.045850965498594666,0.13327831017696318,1.615662576439791,0.16343094724044946,13.178686895225173,15,0.38593316078186035
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=4k)_0",15,manhattan,4k,0,0.037832353106932115,0.12627772342011404,1.6313631472809926,0.17919290407520364,14.23412739951944,15,0.3652303218841553
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=2k)_0",15,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.28087902069091797
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=3k)_0",15,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.2743113040924072
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=4k)_0",15,clark,4k,0,0.25024198764090627,0.19047918109105175,2.450791806265873,0.18123417328381333,24.800062921252888,3,0.2999451160430908
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=2k)_0",16,euclidean,2k,0,0.05825384052768025,0.1303661496980769,1.5802032981686178,0.1859590581337012,12.914540518670815,16,0.19821977615356445
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=3k)_0",16,euclidean,3k,0,0.07716881287963183,0.16529088076201165,1.3415981453920678,0.15472898617693517,11.664447010389798,16,0.25997161865234375
"GlobalKMeansAlgorithm(k=16, Distance_Metric=euclidean, N_Buckets=4k)_0",16,euclidean,4k,0,0.03729677561999446,0.12582089323932188,1.3642363372370774,0.1492039172172358,11.942774881055234,16,0.325397253036499
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=2k)_0",16,manhattan,2k,0,0.06314943793215146,0.1295322878301882,1.6646487688316063,0.1661476659889607,12.288285048555847,16,0.17975926399230957
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=3k)_0",16,manhattan,3k,0,0.05185520577651741,0.13294037608149195,1.5604170231910726,0.1716023275801287,13.45425003361547,16,0.5099010467529297
"GlobalKMeansAlgorithm(k=16, Distance_Metric=manhattan, N_Buckets=4k)_0",16,manhattan,4k,0,0.041353719681006845,0.1353613070555179,1.5856616322126302,0.1733181362732237,13.289051189144182,16,0.5941557884216309
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=2k)_0",16,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.2747807502746582
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=3k)_0",16,clark,3k,0,0.2643383232736845,0.19543651801196824,2.1624673147756877,0.18709348894457475,30.49234786601562,2,0.24468731880187988
"GlobalKMeansAlgorithm(k=16, Distance_Metric=clark, N_Buckets=4k)_0",16,clark,4k,0,0.25024198764090627,0.19047918109105175,2.450791806265873,0.18123417328381333,24.800062921252888,3,0.32815027236938477
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=2k)_0",17,euclidean,2k,0,0.03663580428893756,0.13804153180523507,1.4522674742759842,0.19089495787029967,13.223085237801664,17,0.14405012130737305
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=3k)_0",17,euclidean,3k,0,0.06615481412102586,0.17858782157729522,1.3593014404271173,0.12111638175250139,11.084834915146052,17,0.2502284049987793
"GlobalKMeansAlgorithm(k=17, Distance_Metric=euclidean, N_Buckets=4k)_0",17,euclidean,4k,0,0.03267178107435813,0.14128579985406056,1.4206946693755786,0.15662266112640819,12.278369126697969,17,0.3560159206390381
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=2k)_0",17,manhattan,2k,0,0.05589517079999779,0.11641874338325676,1.5435943056609336,0.17527579208269028,12.666757785928047,17,0.1797466278076172
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=3k)_0",17,manhattan,3k,0,0.05417426684921766,0.14614032212030992,1.5374132731572572,0.18192586383402823,13.376930164758363,17,0.3350515365600586
"GlobalKMeansAlgorithm(k=17, Distance_Metric=manhattan, N_Buckets=4k)_0",17,manhattan,4k,0,0.03074772851272332,0.12394505787064954,1.5483833849958213,0.1859039581812602,13.893616394894078,17,0.4621162414550781
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=2k)_0",17,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.26564955711364746
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=3k)_0",17,clark,3k,0,0.2643383232736845,0.19543651801196824,2.1624673147756877,0.18709348894457475,30.49234786601562,2,0.21725845336914062
"GlobalKMeansAlgorithm(k=17, Distance_Metric=clark, N_Buckets=4k)_0",17,clark,4k,0,0.25024198764090627,0.19047918109105175,2.450791806265873,0.18123417328381333,24.800062921252888,3,0.345186710357666
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=2k)_0",18,euclidean,2k,0,0.06001812356262428,0.1556225456263697,1.4787904344690008,0.1466208305177373,12.022304639864808,18,0.1798083782196045
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=3k)_0",18,euclidean,3k,0,0.05701008992340024,0.1745724155669511,1.3792240346978029,0.13374458588836569,10.694807281497756,18,0.25029993057250977
"GlobalKMeansAlgorithm(k=18, Distance_Metric=euclidean, N_Buckets=4k)_0",18,euclidean,4k,0,0.027965559394730034,0.13236633001032486,1.3453881472195248,0.1487597395968356,11.873109211431087,18,0.4579596519470215
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=2k)_0",18,manhattan,2k,0,0.04539330393720602,0.11647879590055726,1.4892838338166237,0.18404171956956802,12.830361244718851,18,0.23526597023010254
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=3k)_0",18,manhattan,3k,0,0.032136219808803275,0.13975783474589884,1.505594504854444,0.19170244902271225,13.191203983433995,18,0.3666243553161621
"GlobalKMeansAlgorithm(k=18, Distance_Metric=manhattan, N_Buckets=4k)_0",18,manhattan,4k,0,0.03949646469519306,0.1292162031966913,1.5554589404053547,0.195046265118916,13.357643829576645,18,0.4599292278289795
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=2k)_0",18,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.3333585262298584
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=3k)_0",18,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.38518285751342773
"GlobalKMeansAlgorithm(k=18, Distance_Metric=clark, N_Buckets=4k)_0",18,clark,4k,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.47964978218078613
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=2k)_0",19,euclidean,2k,0,0.04566325893531873,0.15224912266684296,1.4464109377135186,0.16764608054737215,12.178057975415093,19,0.21134090423583984
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=3k)_0",19,euclidean,3k,0,0.04167654307417075,0.1356402837620362,1.2869792020794275,0.14058199296049137,10.802678953338285,19,0.2962830066680908
"GlobalKMeansAlgorithm(k=19, Distance_Metric=euclidean, N_Buckets=4k)_0",19,euclidean,4k,0,0.05035350606693231,0.1534695015142273,1.3387228994886016,0.14440205092525718,10.979412676051759,19,0.3845362663269043
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=2k)_0",19,manhattan,2k,0,0.04246909121546459,0.12501597363671246,1.558051540348826,0.18839468982480354,12.859149836153689,19,0.2203073501586914
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=3k)_0",19,manhattan,3k,0,0.03143678392499765,0.1337264839012429,1.53636874604228,0.18432258728181186,12.485198067230135,19,0.3107178211212158
"GlobalKMeansAlgorithm(k=19, Distance_Metric=manhattan, N_Buckets=4k)_0",19,manhattan,4k,0,0.04849509553636927,0.15674319358819372,1.377338016271535,0.18948040738767505,12.560427800419994,19,0.4301927089691162
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=2k)_0",19,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.30042219161987305
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=3k)_0",19,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.39999890327453613
"GlobalKMeansAlgorithm(k=19, Distance_Metric=clark, N_Buckets=4k)_0",19,clark,4k,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.5007731914520264
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=2k)_0",20,euclidean,2k,0,0.056581286188050646,0.1579040879849717,1.42390639608763,0.1474602461321194,11.23178490602678,20,0.23474740982055664
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=3k)_0",20,euclidean,3k,0,0.04496485264620839,0.1331742481810222,1.2730178430400518,0.13405306306346337,10.329077616667727,20,0.290346622467041
"GlobalKMeansAlgorithm(k=20, Distance_Metric=euclidean, N_Buckets=4k)_0",20,euclidean,4k,0,0.04829635564581279,0.1549880024272205,1.2749159995012975,0.17281757523606167,11.39285485170231,20,0.482163667678833
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=2k)_0",20,manhattan,2k,0,0.0435466202859647,0.15420304108079652,1.3734337842034694,0.18532935643106152,11.814432228799568,20,0.23882126808166504
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=3k)_0",20,manhattan,3k,0,0.04007913803297323,0.1439450691173592,1.464026727833257,0.1899919033327381,12.630070832616584,20,0.49017786979675293
"GlobalKMeansAlgorithm(k=20, Distance_Metric=manhattan, N_Buckets=4k)_0",20,manhattan,4k,0,0.034116160200903425,0.13314556990647064,1.497869864501782,0.19564843979896304,12.678626290417824,20,0.7450778484344482
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=2k)_0",20,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.487856388092041
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=3k)_0",20,clark,3k,0,0.25024198764090627,0.19047918109105175,2.450791806265873,0.18123417328381333,24.800062921252888,3,0.41135144233703613
"GlobalKMeansAlgorithm(k=20, Distance_Metric=clark, N_Buckets=4k)_0",20,clark,4k,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,1.1850242614746094
