Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=20)_0,20,0,0.23165894259680214,0.19160601462692087,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.006759166717529297
XMeans(max_clusters=20)_1,20,1,0.23165894259680214,0.19160601462692087,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.006000518798828125
XMeans(max_clusters=20)_2,20,2,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.005914926528930664
XMeans(max_clusters=20)_3,20,3,0.23165894259680214,0.19160601462692087,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.006299734115600586
XMeans(max_clusters=20)_4,20,4,0.23165894259680214,0.19160601462692087,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.004071950912475586
XMeans(max_clusters=20)_5,20,5,0.18965660555728556,0.1851745122600186,2.010354870303459,0.20009355202843024,36.49979008455334,2,0.005595684051513672
XMeans(max_clusters=20)_6,20,6,0.22019411046208012,0.18545822623516206,2.010420231837166,0.2038427100767226,36.22104492532651,2,0.004999399185180664
XMeans(max_clusters=20)_7,20,7,0.16018937629510724,0.18804689976199973,1.9972746532933257,0.19591331439684803,36.77071145608097,2,0.0056188106536865234
XMeans(max_clusters=20)_8,20,8,0.23165894259680214,0.19160601462692087,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.006520509719848633
XMeans(max_clusters=20)_9,20,9,0.23165894259680214,0.1916060146269209,2.000285072724243,0.2048356372869558,36.40839980146401,2,0.005717754364013672
