Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_4",3,euclidean,4,0.10415153928004887,0.15662749227131406,2.1920710728797985,0.13493525243100973,25.972584649764016,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_5",3,euclidean,5,0.20664208917207466,0.21524052868514698,2.195797172788003,0.18079992270984024,26.62939394572801,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_6",3,euclidean,6,0.1437852978889185,0.13066202409785144,2.2430426639100003,0.16466854663211955,27.28620555169285,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_7",3,euclidean,7,0.10879938156590002,0.1429349928904144,2.1950974197567317,0.15266053963176554,28.32526845964824,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_8",3,euclidean,8,0.15768834212183874,0.17810545473729641,2.218881656497435,0.16252353549132753,27.77762220715273,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_9",3,euclidean,9,0.2019277447013283,0.20084783782023247,2.312418910945718,0.1749210460826037,27.174316499206036,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_0",3,manhattan,0,0.225162753430304,0.18661669462365535,2.2371573209810935,0.16095052128282705,24.923484383754683,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_1",3,manhattan,1,0.1836951540907741,0.16159547933758528,2.2135335519320862,0.14764547629306862,22.926661984629444,3,0.0022821426391601562
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_2",3,manhattan,2,0.2901270174088425,0.19728055629894753,2.173976879596892,0.19127660198983365,25.474137029648123,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_3",3,manhattan,3,0.31919744975775977,0.22780307835308114,2.0955708966753743,0.19688076972113616,24.755591704912334,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_4",3,manhattan,4,0.27323029069608046,0.21956167288673045,2.1295295482684184,0.17922255246961044,23.953844808132363,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_5",3,manhattan,5,0.2982634417180837,0.21093190155071892,2.2020860167546004,0.19127365359510337,25.3288946234497,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_6",3,manhattan,6,0.28761163199466355,0.164465918898964,2.0859485345256217,0.19569410586582137,24.720976018988505,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_7",3,manhattan,7,0.22598766532622835,0.17770141765136088,2.098953806717487,0.18525249525343865,27.980758576785338,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_8",3,manhattan,8,0.3511052644524831,0.24563887986342095,2.0745333733491536,0.1954635816954891,24.235927460205176,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=manhattan)_9",3,manhattan,9,0.3143310022508978,0.18715427047492866,2.2739413290628243,0.1905509663264636,23.23033040366049,3,0.016418933868408203
"KMeansAlgorithm(k=3, Distance_Metric=clark)_0",3,clark,0,-0.09605757243784803,0.05203691040639774,2.4212829023048026,0.033124914634164886,4.755166126166167,3,0.00551295280456543
"KMeansAlgorithm(k=3, Distance_Metric=clark)_1",3,clark,1,0.23523268321835222,0.18461385521692567,2.4846975574586483,0.17710604254923654,24.497029853221925,3,0.015677690505981445
"KMeansAlgorithm(k=3, Distance_Metric=clark)_2",3,clark,2,0.25024198764090627,0.19047918109105175,2.450791806265873,0.18123417328381333,24.800062921252888,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_3",3,clark,3,0.16133979081633557,0.0859359157458709,2.3364045892431107,0.12188577010492839,14.32462991719426,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_4",3,clark,4,0.25562023268288114,0.18076740446301623,2.0408660218370387,0.12147803974198375,17.214676933365254,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_5",3,clark,5,0.23523268321835222,0.18461385521692567,2.4846975574586483,0.17710604254923654,24.497029853221925,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_6",3,clark,6,0.25024198764090627,0.19047918109105177,2.419460476065724,0.18104449002486875,24.906817139464128,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_7",3,clark,7,0.23523268321835222,0.18461385521692567,2.4846975574586483,0.17710604254923654,24.497029853221925,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=clark)_8",3,clark,8,0.203391447445009,0.14654087478776343,2.543315597497108,0.17501964376540022,23.696376369695976,3,0.004515886306762695
"KMeansAlgorithm(k=3, Distance_Metric=clark)_9",3,clark,9,0.23523268321835222,0.18461385521692567,2.4846975574586483,0.17710604254923654,24.497029853221925,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_0",4,euclidean,0,0.09965196744092902,0.15495638008193055,2.036998103867283,0.15338918270483154,24.05401217133597,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_1",4,euclidean,1,0.048994423478346476,0.10588335513338738,2.1020680418700692,0.1418857912579365,24.519688376860373,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_2",4,euclidean,2,0.0939390693532019,0.12683369154332735,2.2206667959953226,0.13819205115216182,23.32871888824358,4,0.015618562698364258
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_3",4,euclidean,3,0.11034903443724028,0.10241887353456351,2.160807560914661,0.1533227099618598,22.29067117302716,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_4",4,euclidean,4,0.054236239513646624,0.0897486843948835,2.1910038120324926,0.13721507767885396,23.20488257399502,4,0.010554790496826172
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_5",4,euclidean,5,0.11304173067613035,0.16481496507098556,2.254389581420008,0.14173462845917154,23.349578669327226,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_6",4,euclidean,6,0.07933160503445404,0.12403586789513289,2.2344200532779817,0.1390807241539622,23.462603418212396,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_7",4,euclidean,7,0.06289967498299721,0.10399193546725752,2.086703067231861,0.15508960220312012,24.177163291255813,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_8",4,euclidean,8,0.043392524442329806,0.09731860318923498,2.17246239067017,0.14270688720265887,22.205968150922686,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=euclidean)_9",4,euclidean,9,0.05847165419437339,0.07887438531240056,2.134388179783046,0.16986099255116255,24.339424614709497,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_0",4,manhattan,0,0.2363884805966171,0.19391160720932998,1.8804747456945328,0.1842133690751536,23.550080422451753,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_1",4,manhattan,1,0.28722684235220297,0.19859939892578468,1.9099469372425202,0.19575822009755728,21.263776257951225,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_2",4,manhattan,2,0.24516884724962756,0.17084099044211593,2.1630814522046315,0.1736313671169716,22.260836956265937,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_3",4,manhattan,3,0.22768250570584206,0.16357731854907293,1.909794789578442,0.1830501235746748,23.2870256728723,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_4",4,manhattan,4,0.13309198370045203,0.10947240212896354,2.082723366150791,0.17179125065300982,23.148789804988915,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_5",4,manhattan,5,0.229696804266454,0.1748228608450944,1.9249375164775537,0.18297394640557957,23.353370157218443,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_6",4,manhattan,6,0.2132534342015626,0.13423873038578932,2.0273970946389595,0.18315915697873086,22.164751183051745,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_7",4,manhattan,7,0.22840861839754964,0.17788511340204094,1.9902844885833182,0.17998160872956495,23.532945012877004,4,0.00701141357421875
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_8",4,manhattan,8,0.21330242011746436,0.1344154776160448,2.063105931147113,0.18630222979694408,22.43830601072011,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=manhattan)_9",4,manhattan,9,0.22694324330663185,0.18160725093927896,2.106211536065866,0.1671801327538057,20.759815137121322,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_0",4,clark,0,0.05839902202632139,0.1410562641308508,2.9367108553305052,0.11206667150312624,19.31495785198185,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_1",4,clark,1,0.31714727645603746,0.17685169275638138,1.9409502761574104,0.07929653094425151,14.503575374487122,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_2",4,clark,2,0.14521569002924764,0.05025756379680403,2.368561706713439,0.15641539208853567,17.524895484322336,3,0.015595197677612305
"KMeansAlgorithm(k=4, Distance_Metric=clark)_3",4,clark,3,0.26230005696658565,0.13154037500512483,2.2595498543031076,0.15399362349461135,15.94865502644749,4,0.003009796142578125
"KMeansAlgorithm(k=4, Distance_Metric=clark)_4",4,clark,4,0.3524393915882543,0.18843429263932965,2.2573290765178182,0.1644918863652633,16.39976274411943,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_5",4,clark,5,0.18215433758744623,0.1928721355739581,2.335005619555872,0.008468567932905692,19.018639994611437,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_6",4,clark,6,0.18215433758744623,0.1928721355739581,2.335005619555872,0.008468567932905692,19.018639994611437,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_7",4,clark,7,0.24424960484938893,0.21744036587217172,2.2168643762868445,-0.04638589895040864,12.119597458627009,4,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_8",4,clark,8,0.18215433758744623,0.1928721355739581,2.335005619555872,0.008468567932905692,19.018639994611437,3,0.0
"KMeansAlgorithm(k=4, Distance_Metric=clark)_9",4,clark,9,0.0894114631159406,0.163033053378433,2.8309846798677913,0.0825270941849426,19.09443117361611,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_0",5,euclidean,0,0.15766537711313666,0.17239975431500065,1.9761433398591475,0.17300777519701743,21.36940147240384,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_1",5,euclidean,1,0.06509269187725408,0.08403649796370335,2.146424332995127,0.16006536402438507,21.015904564690707,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_2",5,euclidean,2,0.054630276178973425,0.12208345922610433,2.071835476871523,0.128449038139293,20.888518416571895,5,0.015631437301635742
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_3",5,euclidean,3,0.03290404260877062,0.06828358296550176,2.132060711782152,0.1399417578186579,20.229745254172393,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_4",5,euclidean,4,0.07292331464095862,0.10089508588201833,2.0556313046104897,0.14474472652203113,20.131766712264547,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_5",5,euclidean,5,0.1037536508983194,0.14584515647895763,1.9809968578931847,0.13696638586677434,20.3920212347931,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_6",5,euclidean,6,0.08101009369782237,0.1519538164204549,1.9820896138857358,0.1455090360052574,22.154496126419776,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_7",5,euclidean,7,0.08587376078098335,0.14304024513527017,1.980777823463141,0.1553045083530394,22.312693391366484,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_8",5,euclidean,8,0.1074740436105589,0.14203960914376382,2.048345577685651,0.1783795504126147,22.312151947151236,5,0.01561594009399414
"KMeansAlgorithm(k=5, Distance_Metric=euclidean)_9",5,euclidean,9,0.07321084520945098,0.12504135524890994,1.9808959541217734,0.16903773946502046,22.595727431013735,5,0.0
