Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=poly, C=100.0",Mushroom/3,1.0,0.0016009807586669922,1.0
"SVM, kernel=poly, C=100.0",Mushroom/4,1.0,0.0019998550415039062,1.0
"SVM, kernel=poly, C=100.0",Mushroom/5,1.0,0.0013663768768310547,1.0
"SVM, kernel=poly, C=100.0",Mushroom/6,1.0,0.002000093460083008,1.0
"SVM, kernel=poly, C=100.0",Mushroom/7,1.0,0.0028007030487060547,1.0
"SVM, kernel=poly, C=100.0",Mushroom/8,1.0,0.002013683319091797,1.0
"SVM, kernel=poly, C=100.0",Mushroom/9,1.0,0.0028333663940429688,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/0,0.9975339087546239,0.021634817123413086,0.9974358974358974
"SVM, kernel=rbf, C=1.0",Mushroom/1,1.0,0.023024559020996094,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/2,1.0,0.021094560623168945,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/3,1.0,0.03020644187927246,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/4,0.9987684729064039,0.024910688400268555,0.998719590268886
"SVM, kernel=rbf, C=1.0",Mushroom/5,0.9975339087546239,0.020821094512939453,0.9974358974358974
"SVM, kernel=rbf, C=1.0",Mushroom/6,1.0,0.025119304656982422,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/7,1.0,0.02008795738220215,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/8,1.0,0.02202153205871582,1.0
"SVM, kernel=rbf, C=1.0",Mushroom/9,1.0,0.02004861831665039,1.0
"SVM, kernel=poly, C=1.0",Mushroom/0,0.9950678175092479,0.005505800247192383,0.9948586118251928
"SVM, kernel=poly, C=1.0",Mushroom/1,0.9987684729064039,0.0049991607666015625,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/2,0.9987714987714987,0.008279561996459961,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/3,0.9975369458128078,0.007003307342529297,0.9974424552429667
"SVM, kernel=poly, C=1.0",Mushroom/4,0.9963054187192119,0.0066606998443603516,0.9961489088575096
"SVM, kernel=poly, C=1.0",Mushroom/5,0.9963008631319359,0.00501251220703125,0.9961489088575096
"SVM, kernel=poly, C=1.0",Mushroom/6,1.0,0.006942033767700195,1.0
"SVM, kernel=poly, C=1.0",Mushroom/7,0.9987684729064039,0.00999903678894043,0.9987228607918263
"SVM, kernel=poly, C=1.0",Mushroom/8,0.9975429975429976,0.005451679229736328,0.9974489795918368
"SVM, kernel=poly, C=1.0",Mushroom/9,0.9987684729064039,0.006653785705566406,0.998719590268886
"SVM, kernel=linear, C=0.1",Mushroom/0,0.9913686806411838,0.0043451786041259766,0.9909677419354839
"SVM, kernel=linear, C=0.1",Mushroom/1,0.9938423645320197,0.003799915313720703,0.993581514762516
"SVM, kernel=linear, C=0.1",Mushroom/2,0.9889434889434889,0.004755496978759766,0.9883870967741936
"SVM, kernel=linear, C=0.1",Mushroom/3,0.9926108374384236,0.006598949432373047,0.9922879177377892
"SVM, kernel=linear, C=0.1",Mushroom/4,0.9938423645320197,0.004000186920166016,0.9935649935649936
"SVM, kernel=linear, C=0.1",Mushroom/5,0.9913686806411838,0.004709720611572266,0.9909677419354839
"SVM, kernel=linear, C=0.1",Mushroom/6,0.9987714987714987,0.006000041961669922,0.998719590268886
"SVM, kernel=linear, C=0.1",Mushroom/7,0.9950738916256158,0.004000663757324219,0.9948717948717949
"SVM, kernel=linear, C=0.1",Mushroom/8,0.9877149877149877,0.004003763198852539,0.9871134020618557
"SVM, kernel=linear, C=0.1",Mushroom/9,0.9864532019704434,0.0038683414459228516,0.9857328145265889
