Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=4k)_0",8,manhattan,4k,0,0.2535945052935009,0.337414669403512,1.6887249348692708,0.2642088360981408,1499.229464459102,0.6065289974212646
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=2k)_0",8,clark,2k,0,0.25348315013510575,0.3175731147202212,1.9775668826965653,0.185298548360117,1183.3537807086302,1.1202833652496338
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=3k)_0",8,clark,3k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,1.7210493087768555
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=4k)_0",8,clark,4k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,1.7071235179901123
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=2k)_0",9,euclidean,2k,0,0.2106710800764653,0.2812269102634816,1.6538751872459785,0.2522233389877483,1532.0704068603472,0.6441781520843506
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=3k)_0",9,euclidean,3k,0,0.16663080301575992,0.23950352705034825,1.5941812573135115,0.24649716728759122,1562.8117892057496,0.6839616298675537
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=4k)_0",9,euclidean,4k,0,0.22054574675133193,0.3189135157368574,1.637564582101608,0.27224424681387394,1558.1822602410125,0.6549038887023926
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=2k)_0",9,manhattan,2k,0,0.23054672629893766,0.31515340262495467,1.84802653796591,0.26069789709168023,1375.1951274495839,0.6266257762908936
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=3k)_0",9,manhattan,3k,0,0.245489042303774,0.3532342203353114,1.9632848816588557,0.25582090135520524,1365.9856356365608,0.6435790061950684
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=4k)_0",9,manhattan,4k,0,0.24843459874121068,0.3616313633658009,1.971352642746179,0.25325132920589155,1343.9725030615343,0.5701854228973389
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=2k)_0",9,clark,2k,0,0.2536014833844353,0.31692154821371404,1.9749219538824103,0.1849580967944634,1180.1550325443927,1.312760353088379
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=3k)_0",9,clark,3k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,1.337446928024292
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=4k)_0",9,clark,4k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,1.3954224586486816
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=2k)_0",10,euclidean,2k,0,0.21157463867713253,0.28154797024240674,1.6460487292719335,0.2524903084547314,1422.8384240916762,0.7543201446533203
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=3k)_0",10,euclidean,3k,0,0.20424431113641695,0.2828958382161623,1.599941788187597,0.27578588487973277,1503.8542361159293,0.7401161193847656
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=4k)_0",10,euclidean,4k,0,0.18759260646573522,0.3137687600073704,1.4806128358452044,0.2678787411421558,1465.585819855518,0.7323925495147705
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=2k)_0",10,manhattan,2k,0,0.23924601913112087,0.34036619381595346,1.821184333970398,0.2587978951345423,1286.85962357231,0.8384072780609131
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=3k)_0",10,manhattan,3k,0,0.2472122685994021,0.3518125142900545,1.864233383972214,0.25570137841187124,1310.1981500219301,0.8029272556304932
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=4k)_0",10,manhattan,4k,0,0.24821947633481684,0.3644663027618603,1.7752226926094792,0.25935494467644576,1303.2627427721857,0.7043540477752686
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=2k)_0",10,clark,2k,0,0.25438610724760596,0.34417180267496833,2.102742870198596,0.19660383565989772,1054.8686561489715,1.5374293327331543
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=3k)_0",10,clark,3k,0,0.2331166938080585,0.317025753027123,1.974756987700362,0.203389643472834,976.7346700411997,1.5770576000213623
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=4k)_0",10,clark,4k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,1.6065857410430908
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=2k)_0",11,euclidean,2k,0,0.1722658126895369,0.28510389813969383,1.5095487206594407,0.2670839632929776,1511.2442422936929,0.9748411178588867
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=3k)_0",11,euclidean,3k,0,0.16866104996321965,0.2736973874597155,1.5597511170234652,0.2632452069735515,1518.689685995528,0.8989737033843994
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=4k)_0",11,euclidean,4k,0,0.15495066871778734,0.29414249094103,1.5020368108709163,0.24477113325180375,1389.3931727350323,0.8350327014923096
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=2k)_0",11,manhattan,2k,0,0.22090185791115685,0.3390113795827489,1.7979425057181595,0.26750819618365296,1253.9585743987673,0.9290344715118408
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=3k)_0",11,manhattan,3k,0,0.24269845178490324,0.34614370109696424,1.6325636753679107,0.25650354960856103,1295.1240199800347,0.9101102352142334
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=4k)_0",11,manhattan,4k,0,0.24766094817401507,0.3646039019089212,1.8435068580808052,0.26199355943579616,1193.0955477537257,0.8995192050933838
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=2k)_0",11,clark,2k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,1.2577366828918457
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=3k)_0",11,clark,3k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,1.888376235961914
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=4k)_0",11,clark,4k,0,0.19989340366246414,0.2556002542175799,2.61262747328181,0.13095046072398178,1010.9630020606928,2.045657157897949
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=2k)_0",12,euclidean,2k,0,0.17652324938314276,0.28524912394684404,1.6314857444126167,0.24351385773481335,1381.3565534611234,1.0077877044677734
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=3k)_0",12,euclidean,3k,0,0.16551432886461945,0.281183726926259,1.5058463345215032,0.2624772005205084,1426.364948223227,1.0057392120361328
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=4k)_0",12,euclidean,4k,0,0.14771487423208285,0.28115669561685863,1.506848071893564,0.2509250546617095,1373.2225910493617,0.9492127895355225
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=2k)_0",12,manhattan,2k,0,0.2358151375022649,0.35746922676677606,1.8911398169318383,0.25062290378039437,1114.1606720478862,1.1000962257385254
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=3k)_0",12,manhattan,3k,0,0.24724690831636278,0.36648240772996277,1.7891765476475292,0.25220542811258295,1121.4903121290827,1.0195908546447754
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=4k)_0",12,manhattan,4k,0,0.24394684137976116,0.3597225755698986,1.734308917764044,0.26181826045543904,1126.417127017262,1.0470571517944336
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=2k)_0",12,clark,2k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,2.2544846534729004
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=3k)_0",12,clark,3k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,2.2467360496520996
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=4k)_0",12,clark,4k,0,0.24224102915201381,0.36167716674714356,1.8996816759166342,0.209211377364817,932.6327508325566,1.604501485824585
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=2k)_0",13,euclidean,2k,0,0.13240348262081073,0.2710819773381393,1.555378752966719,0.23934666581679892,1401.7546833470142,1.1508426666259766
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=3k)_0",13,euclidean,3k,0,0.18609232419497657,0.3188010917369747,1.5455820439159529,0.2603164865578043,1325.070581735669,1.1391997337341309
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=4k)_0",13,euclidean,4k,0,0.14834881911241618,0.2961835596160975,1.5403808380876343,0.2510665315145821,1336.4040744372746,1.1078987121582031
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=2k)_0",13,manhattan,2k,0,0.23576115259682226,0.3571051685861322,1.81364355281138,0.24495183009472316,1041.1935306238993,1.209001064300537
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=3k)_0",13,manhattan,3k,0,0.23673039583565653,0.3477640725189477,1.7696368595496728,0.2464801432307824,1079.4942688020333,1.2050719261169434
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=4k)_0",13,manhattan,4k,0,0.23673039583565653,0.3477640725189477,1.7696368595496728,0.2464801432307824,1079.4942688020333,1.2460441589355469
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=2k)_0",13,clark,2k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,2.545260190963745
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=3k)_0",13,clark,3k,0,0.10843946815166114,0.17486892334377538,2.128349724458443,0.15124557568597255,1315.2391830097692,2.661423444747925
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=4k)_0",13,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,1.7486402988433838
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=2k)_0",14,euclidean,2k,0,0.16660743349845286,0.279990590023248,1.5238153637443967,0.2617222400628218,1294.712872399936,1.3320794105529785
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=3k)_0",14,euclidean,3k,0,0.18263173155264012,0.3174642959705079,1.5223277945238214,0.26606413965626374,1307.1662728025133,1.2312562465667725
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=4k)_0",14,euclidean,4k,0,0.18231534452111636,0.309067716730566,1.4370231704538798,0.27528052672207676,1298.9964311450342,1.2451732158660889
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=2k)_0",14,manhattan,2k,0,0.2350442906494243,0.35331314424146276,1.7752661919928856,0.22711500376028387,1000.3974403198719,1.3001129627227783
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=3k)_0",14,manhattan,3k,0,0.23345136800442778,0.3621994133891133,1.7716354470425124,0.250414613032356,1059.9949434087625,1.3959741592407227
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=4k)_0",14,manhattan,4k,0,0.23010989164491227,0.3674657282340276,1.731769316861207,0.25704257884592735,1076.2451287539095,1.4777581691741943
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=2k)_0",14,clark,2k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,3.0623676776885986
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=3k)_0",14,clark,3k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,3.0149476528167725
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=4k)_0",14,clark,4k,0,0.15571660130751766,0.17838365153162677,2.35183984346622,0.18948775449639982,1567.9905057862475,2.006601095199585
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=2k)_0",15,euclidean,2k,0,0.13917258990704176,0.278429760300402,1.5479217211833622,0.24410342600131726,1281.555255144763,1.5060741901397705
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=3k)_0",15,euclidean,3k,0,0.15009937686201072,0.30128744157205123,1.5335233728273405,0.2569464307385739,1278.8327990912658,1.508105754852295
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=4k)_0",15,euclidean,4k,0,0.1411755586339056,0.2942081676053158,1.4898846666163463,0.2555808459320054,1293.0514221413057,1.5484626293182373
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=2k)_0",15,manhattan,2k,0,0.2271134641979789,0.34623356885518347,1.7538878988293714,0.2242981245846,962.4903348356912,1.3664019107818604
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=3k)_0",15,manhattan,3k,0,0.22886264905690776,0.36301924253945966,1.7353700611027312,0.24464267221449235,1005.4092428622143,1.5036566257476807
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=4k)_0",15,manhattan,4k,0,0.2322593804024756,0.35926177213488103,1.6199102541839243,0.2703923592590963,1046.6662335727294,1.607471227645874
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=2k)_0",15,clark,2k,0,0.23098267263786565,0.32751783806178286,1.9200926959921338,0.1931544172711189,812.8819292554831,2.1429197788238525
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=3k)_0",15,clark,3k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,3.39963436126709
