Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=14, Distance_Metric=euclidean)_8",14,euclidean,8,0.10677006172990669,0.2477552953009384,1.6752561576354732,0.22958360608438547,1298.454121868344,0.10014963150024414
"KMeansAlgorithm(k=14, Distance_Metric=euclidean)_9",14,euclidean,9,0.10844265383979401,0.2517832492718063,1.8751971704153465,0.15399450506871154,1177.0511352748329,0.10889220237731934
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_0",14,manhattan,0,0.1936616035893386,0.36339318017992006,1.612245664477912,0.2323917865374035,1154.9687834970935,0.09961962699890137
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_1",14,manhattan,1,0.12860937365934763,0.28326008873188785,1.9205379221880832,0.16495295754885883,1138.398126396262,0.10179567337036133
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_2",14,manhattan,2,0.1382818585901547,0.2985131410695472,1.704354031759444,0.22665309922262245,1196.029533849532,0.09980034828186035
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_3",14,manhattan,3,0.17867934593442356,0.3532522873117621,1.770193358498777,0.21765277251904994,1170.0262993813437,0.10019826889038086
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_4",14,manhattan,4,0.16833008433558286,0.3162103013820214,1.9786820043463524,0.17637522922952706,1039.7242615189095,0.10089254379272461
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_5",14,manhattan,5,0.12583049126461007,0.3084710553581225,1.99669451651977,0.16684004892211152,1151.171264502347,0.10425519943237305
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_6",14,manhattan,6,0.15770507953766946,0.3316560365801836,1.705473506046262,0.2162101802393036,1122.4649821829946,0.10123443603515625
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_7",14,manhattan,7,0.18778401282234242,0.3070261560859823,1.8588141773016396,0.18833993946807942,1107.6920237308286,0.10503578186035156
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_8",14,manhattan,8,0.130059136678684,0.30299860098943476,1.9499793759464334,0.16812917381164275,1140.9322997287422,0.10135388374328613
"KMeansAlgorithm(k=14, Distance_Metric=manhattan)_9",14,manhattan,9,0.12549031979365452,0.3083801856925336,1.848324056983741,0.18833774698461392,1109.6855403021814,0.11337780952453613
"KMeansAlgorithm(k=14, Distance_Metric=clark)_0",14,clark,0,0.22343751812748286,0.3065264472830305,2.1275249175939157,0.20009119593646382,889.5291343768987,0.224290132522583
"KMeansAlgorithm(k=14, Distance_Metric=clark)_1",14,clark,1,0.2611090378406166,0.3776936313626859,1.7218841407110288,0.2168561588639022,926.6112079577337,0.221893310546875
"KMeansAlgorithm(k=14, Distance_Metric=clark)_2",14,clark,2,0.2556583372410367,0.3745829693861713,2.138027533057119,0.183474637067628,837.299274683466,0.22210192680358887
"KMeansAlgorithm(k=14, Distance_Metric=clark)_3",14,clark,3,0.25742134862769817,0.34880993911839325,1.8606884169581803,0.1956774724058615,1076.98166394446,0.21988797187805176
"KMeansAlgorithm(k=14, Distance_Metric=clark)_4",14,clark,4,0.13035162016635787,0.22408673357798864,1.8036219471110242,0.1467092242926127,919.1201322915867,0.21664881706237793
"KMeansAlgorithm(k=14, Distance_Metric=clark)_5",14,clark,5,0.2483331227484706,0.35213429100639954,1.989705932140377,0.2227033115427599,1019.0072387517375,0.2078714370727539
"KMeansAlgorithm(k=14, Distance_Metric=clark)_6",14,clark,6,0.20923234573355234,0.2696579879496464,2.047539980471507,0.16170162421108428,772.2945449876045,0.1756894588470459
"KMeansAlgorithm(k=14, Distance_Metric=clark)_7",14,clark,7,0.1993236076940076,0.2953167220185804,2.1575605511465277,0.15634314820781964,896.0762043179604,0.21827244758605957
"KMeansAlgorithm(k=14, Distance_Metric=clark)_8",14,clark,8,0.12504739237599427,0.21816046901131048,1.9178860882052728,0.1569686987310963,1015.1595150243619,0.19947361946105957
"KMeansAlgorithm(k=14, Distance_Metric=clark)_9",14,clark,9,0.19335488372211232,0.2729086398029248,2.44597760289823,0.18671867046762908,918.5008357064359,0.21959376335144043
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_0",15,euclidean,0,0.10888423800866254,0.2688071335099987,1.748662556879359,0.19834971224432482,1199.108176777228,0.11240887641906738
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_1",15,euclidean,1,0.11578622352961897,0.27579745114222004,1.6604580195630654,0.20789278150169196,1244.5044818199779,0.10982680320739746
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_2",15,euclidean,2,0.09691222269519213,0.2308760646741236,1.91622420185632,0.16123107552650587,1124.2639669045523,0.11060667037963867
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_3",15,euclidean,3,0.103151553779162,0.23095180168137355,1.7856903335266423,0.17804053963449143,1182.9898799229338,0.11245965957641602
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_4",15,euclidean,4,0.10689453879661667,0.24360967004378578,1.5257692976975568,0.222946219078943,1238.304342386368,0.11115217208862305
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_5",15,euclidean,5,0.10473830300987894,0.2430056029535296,1.7411408559387427,0.21391936475821793,1252.5539391880966,0.11245226860046387
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_6",15,euclidean,6,0.12570808519854937,0.28320377427900273,1.9421254016948637,0.15702548707324304,1118.3059251259492,0.10942721366882324
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_7",15,euclidean,7,0.08408415465518555,0.2211254401813088,1.6293887783173713,0.1965079312340783,1232.935692313022,0.11681818962097168
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_8",15,euclidean,8,0.14266578552809275,0.2601020075511561,1.6828325043606556,0.230733838836261,1128.7375129986717,0.1101236343383789
"KMeansAlgorithm(k=15, Distance_Metric=euclidean)_9",15,euclidean,9,0.1266467361557872,0.29299324906675966,1.6987995661603972,0.19124868176302529,1168.5807662382208,0.11151981353759766
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_0",15,manhattan,0,0.1858098978313722,0.3453198078259843,1.8882785110660403,0.22350007556683033,1033.031543040583,0.10947799682617188
