Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=lobpcg)_8",2,15,cluster_qr,lobpcg,8,0.004349328880461217,0.002683861250806203,3.7301223906502563,0.05886685930834685,517.6485354913909,2,0.3142235279083252
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=lobpcg)_9",2,15,cluster_qr,lobpcg,9,0.0016576980577569208,0.0008454792455394286,5.973878001352808,0.02014312221146837,189.51219930177652,2,0.34537577629089355
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_0",2,15,cluster_qr,amg,0,0.003121873442952163,0.0017859401340679694,5.263809965953694,0.033426545249187235,234.82101251257762,2,0.20291805267333984
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_1",2,15,cluster_qr,amg,1,0.003188239724392508,0.0018454221910215998,5.52970948047419,0.035922607177955077,204.25826065070973,2,0.2071068286895752
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_2",2,15,cluster_qr,amg,2,0.05048064700732485,0.03632167406540245,4.997246258476213,0.04463444492111946,305.9045310736624,2,0.20676660537719727
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_3",2,15,cluster_qr,amg,3,-0.0004297714809269444,0.0006157417177218786,6.259830656465069,0.030198083215821406,143.93466986137176,2,0.20516252517700195
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_4",2,15,cluster_qr,amg,4,0.015507208783402053,0.010993277245508044,4.963737684855532,0.04514722346501867,282.15788205552974,2,0.1990344524383545
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_5",2,15,cluster_qr,amg,5,-0.0003554427402740567,0.0001506366143575186,8.355366802457912,0.012946374880164153,86.49799045395567,2,0.20854949951171875
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_6",2,15,cluster_qr,amg,6,0.006944727373640575,0.004589363730378534,6.103867991894763,0.02401873965686901,173.02358207972011,2,0.20014500617980957
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_7",2,15,cluster_qr,amg,7,-0.0003381843031232639,0.00035985483075295054,5.584479797997321,0.03218534845847239,203.13837630946074,2,0.20555520057678223
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_8",2,15,cluster_qr,amg,8,0.007969570896883108,0.0054268139917058025,5.533302043658735,0.022787604234536463,206.31958865775064,2,0.28014254570007324
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=amg)_9",2,15,cluster_qr,amg,9,0.020876566463331792,0.01486374003501778,4.955875207477149,0.05358311470225377,298.26969275734723,2,0.33464646339416504
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_0",2,15,cluster_qr,arpack,0,-0.00023704302969755007,6.8696267896709e-05,4.921693540798797,0.02851318212928659,282.7574221483466,2,8.231064081192017
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_1",2,15,cluster_qr,arpack,1,0.0030042494222148413,0.0017553169281092284,9.10909041773989,0.012383704221255537,68.45174222685205,2,7.769487380981445
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_2",2,15,cluster_qr,arpack,2,0.0004062624409427038,0.0001360756213837993,7.664676808968614,0.014055714909259647,107.370801284084,2,6.717451810836792
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_3",2,15,cluster_qr,arpack,3,0.040404854979655506,0.028825282412120217,5.429508253790207,0.03939107795961912,260.55295364038324,2,5.925641059875488
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_4",2,15,cluster_qr,arpack,4,0.03531292220984318,0.026682592320360597,5.464878082780341,0.03769577823858774,231.82328412824938,2,6.262468099594116
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_5",2,15,cluster_qr,arpack,5,0.000805542328908848,0.0023978297170600634,7.1130673510196045,0.008835392943290186,118.47572878291571,2,9.385700464248657
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_6",2,15,cluster_qr,arpack,6,0.01678688391223665,0.011856468833881296,5.2127522612439465,0.04182716136385599,261.12745583636473,2,8.25196385383606
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_7",2,15,cluster_qr,arpack,7,0.006443508501526082,0.004220501765894735,8.018144084676916,0.017460615465708137,100.39250625816763,2,6.678842067718506
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_8",2,15,cluster_qr,arpack,8,0.011696553725401201,0.008625970722775494,5.084106038040833,0.023108964262274545,231.35947741163935,2,7.297097682952881
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=15, assign_labels=cluster_qr, eigen_solver=arpack)_9",2,15,cluster_qr,arpack,9,0.007243524222926632,0.004926756693244579,6.2300701585089255,0.03776326789852294,164.92829949773446,2,7.50612473487854
