Statistical Analysis Report for Parameter: k
==================================================

FRIEDMAN TEST RESULTS
--------------------
Metric               Statistic       P-Value         Significant    
-----------------------------------------------------------------
E                    364.0063        0.0000          True           
ARI                  236.3389        0.0000          True           
F1 Score             309.7591        0.0000          True           
DBI                  247.0568        0.0000          True           
silhouette_score     122.7284        0.0000          True           
calinski_harabasz_score 391.8842        0.0000          True           
Time                 351.1037        0.0000          True           


NEMENYI POST-HOC TEST RESULTS
==============================

Metric: E
--------------------
Group 1              Group 2              P-Value         Significant    
----------------------------------------------------------------------
4                    17                   0.0002          True           
4                    18                   0.0000          True           
4                    19                   0.0000          True           
4                    20                   0.0000          True           
5                    6                    1.0000          False          
5                    7                    1.0000          False          
5                    8                    0.9897          False          
5                    9                    0.9987          False          
5                    10                   0.9308          False          
5                    11                   0.6365          False          
5                    12                   0.3053          False          
5                    13                   0.0108          False          
5                    14                   0.1070          False          
5                    15                   0.0210          False          
5                    16                   0.0002          True           
5                    17                   0.0001          True           
5                    18                   0.0000          True           
5                    19                   0.0000          True           
5                    20                   0.0000          True           
6                    7                    1.0000          False          
6                    8                    0.9999          False          
6                    9                    1.0000          False          
6                    10                   0.9972          False          
6                    11                   0.9352          False          
6                    12                   0.7234          False          
6                    13                   0.0988          False          
6                    14                   0.4270          False          
6                    15                   0.1557          False          
6                    16                   0.0045          False          
6                    17                   0.0029          False          
6                    18                   0.0002          True           
6                    19                   0.0001          True           
6                    20                   0.0000          True           
7                    8                    1.0000          False          
7                    9                    1.0000          False          
7                    10                   0.9999          False          
7                    11                   0.9925          False          
7                    12                   0.9254          False          
7                    13                   0.2982          False          
7                    14                   0.7330          False          
7                    15                   0.4039          False          
7                    16                   0.0294          False          
7                    17                   0.0206          False          
7                    18                   0.0020          False          
7                    19                   0.0013          False          
7                    20                   0.0001          True           
8                    9                    1.0000          False          
8                    10                   1.0000          False          
8                    11                   1.0000          False          
8                    12                   0.9999          False          
8                    13                   0.9188          False          
8                    14                   0.9969          False          
8                    15                   0.9575          False          
8                    16                   0.4571          False          
8                    17                   0.3929          False          
8                    18                   0.1199          False          
8                    19                   0.0929          False          
8                    20                   0.0190          False          
9                    10                   1.0000          False          
9                    11                   1.0000          False          
9                    12                   0.9986          False          
9                    13                   0.7839          False          
9                    14                   0.9798          False          
9                    15                   0.8635          False          
9                    16                   0.2529          False          
9                    17                   0.2048          False          
9                    18                   0.0440          False          
9                    19                   0.0321          False          
9                    20                   0.0048          False          
10                   11                   1.0000          False          
10                   12                   1.0000          False          
10                   13                   0.9869          False          
10                   14                   0.9999          False          
10                   15                   0.9950          False          
10                   16                   0.7356          False          
10                   17                   0.6767          False          
10                   18                   0.3157          False          
10                   19                   0.2637          False          
10                   20                   0.0799          False          
11                   12                   1.0000          False          
11                   13                   0.9998          False          
11                   14                   1.0000          False          
11                   15                   1.0000          False          
11                   16                   0.9630          False          
11                   17                   0.9452          False          
11                   18                   0.7230          False          
11                   19                   0.6664          False          
11                   20                   0.3496          False          
12                   13                   1.0000          False          
12                   14                   1.0000          False          
12                   15                   1.0000          False          
12                   16                   0.9975          False          
12                   17                   0.9954          False          
12                   18                   0.9351          False          
12                   19                   0.9102          False          
12                   20                   0.6837          False          
13                   14                   1.0000          False          
13                   15                   1.0000          False          
13                   16                   1.0000          False          
13                   17                   1.0000          False          
13                   18                   1.0000          False          
13                   19                   0.9999          False          
13                   20                   0.9955          False          
14                   15                   1.0000          False          
14                   16                   0.9999          False          
14                   17                   0.9998          False          
14                   18                   0.9918          False          
14                   19                   0.9865          False          
14                   20                   0.9015          False          
15                   16                   1.0000          False          
15                   17                   1.0000          False          
15                   18                   0.9998          False          
15                   19                   0.9995          False          
15                   20                   0.9881          False          
16                   17                   1.0000          False          
16                   18                   1.0000          False          
16                   19                   1.0000          False          
16                   20                   1.0000          False          
17                   18                   1.0000          False          
17                   19                   1.0000          False          
17                   20                   1.0000          False          
18                   19                   1.0000          False          
18                   20                   1.0000          False          
19                   20                   1.0000          False          

Metric: Time
--------------------
Group 1              Group 2              P-Value         Significant    
----------------------------------------------------------------------
2                    3                    1.0000          False          
2                    4                    1.0000          False          
2                    5                    0.9957          False          
2                    6                    0.5748          False          
2                    7                    0.4131          False          
2                    8                    0.1206          False          
2                    9                    0.3620          False          
2                    10                   0.0243          False          
2                    11                   0.0202          False          
2                    12                   0.0066          False          
2                    13                   0.0021          False          
2                    14                   0.0039          False          
2                    15                   0.0000          True           
2                    16                   0.0000          True           
2                    17                   0.0000          True           
2                    18                   0.0000          True           
2                    19                   0.0000          True           
2                    20                   0.0000          True           
3                    4                    1.0000          False          
3                    5                    1.0000          False          
3                    6                    0.9742          False          
3                    7                    0.9312          False          
3                    8                    0.6679          False          
3                    9                    0.9091          False          
3                    10                   0.3338          False          
3                    11                   0.3040          False          
3                    12                   0.1657          False          
3                    13                   0.0835          False          
3                    14                   0.1231          False          
3                    15                   0.0029          False          
3                    16                   0.0003          True           
3                    17                   0.0005          True           
3                    18                   0.0001          True           
3                    19                   0.0000          True           
3                    20                   0.0000          True           
4                    5                    1.0000          False          
4                    6                    0.9963          False          
4                    7                    0.9856          False          
4                    8                    0.8599          False          
4                    9                    0.9787          False          
4                    10                   0.5724          False          
4                    11                   0.5383          False          
4                    12                   0.3532          False          
4                    13                   0.2123          False          
4                    14                   0.2841          False          
4                    15                   0.0136          False          
4                    16                   0.0020          False          
4                    17                   0.0031          False          
4                    18                   0.0004          True           
4                    19                   0.0001          True           
4                    20                   0.0000          True           
5                    6                    1.0000          False          
5                    7                    0.9999          False          
5                    8                    0.9939          False          
5                    9                    0.9998          False          
5                    10                   0.9343          False          
5                    11                   0.9213          False          
5                    12                   0.8159          False          
5                    13                   0.6722          False          
5                    14                   0.7551          False          
5                    15                   0.1475          False          
5                    16                   0.0399          False          
5                    17                   0.0555          False          
5                    18                   0.0137          False          
5                    19                   0.0029          False          
5                    20                   0.0026          False          
6                    7                    1.0000          False          
6                    8                    1.0000          False          
6                    9                    1.0000          False          
6                    10                   1.0000          False          
6                    11                   1.0000          False          
6                    12                   0.9998          False          
6                    13                   0.9984          False          
6                    14                   0.9994          False          
6                    15                   0.8802          False          
6                    16                   0.6492          False          
6                    17                   0.7121          False          
6                    18                   0.4527          False          
6                    19                   0.2334          False          
6                    20                   0.2229          False          
7                    8                    1.0000          False          
7                    9                    1.0000          False          
7                    10                   1.0000          False          
7                    11                   1.0000          False          
7                    12                   1.0000          False          
7                    13                   0.9997          False          
7                    14                   0.9999          False          
7                    15                   0.9479          False          
7                    16                   0.7902          False          
7                    17                   0.8386          False          
7                    18                   0.6148          False          
7                    19                   0.3706          False          
7                    20                   0.3573          False          
8                    9                    1.0000          False          
8                    10                   1.0000          False          
8                    11                   1.0000          False          
8                    12                   1.0000          False          
8                    13                   1.0000          False          
8                    14                   1.0000          False          
8                    15                   0.9974          False          
8                    16                   0.9705          False          
8                    17                   0.9815          False          
8                    18                   0.9085          False          
8                    19                   0.7478          False          
8                    20                   0.7356          False          
9                    10                   1.0000          False          
9                    11                   1.0000          False          
9                    12                   1.0000          False          
9                    13                   0.9999          False          
9                    14                   1.0000          False          
9                    15                   0.9623          False          
9                    16                   0.8291          False          
9                    17                   0.8716          False          
9                    18                   0.6666          False          
9                    19                   0.4221          False          
9                    20                   0.4081          False          
10                   11                   1.0000          False          
10                   12                   1.0000          False          
10                   13                   1.0000          False          
10                   14                   1.0000          False          
10                   15                   1.0000          False          
10                   16                   0.9983          False          
10                   17                   0.9992          False          
10                   18                   0.9897          False          
10                   19                   0.9449          False          
10                   20                   0.9402          False          
11                   12                   1.0000          False          
11                   13                   1.0000          False          
11                   14                   1.0000          False          
11                   15                   1.0000          False          
11                   16                   0.9988          False          
11                   17                   0.9994          False          
11                   18                   0.9922          False          
11                   19                   0.9548          False          
11                   20                   0.9508          False          
12                   13                   1.0000          False          
12                   14                   1.0000          False          
12                   15                   1.0000          False          
12                   16                   0.9999          False          
12                   17                   1.0000          False          
12                   18                   0.9987          False          
12                   19                   0.9875          False          
12                   20                   0.9861          False          
13                   14                   1.0000          False          
13                   15                   1.0000          False          
13                   16                   1.0000          False          
13                   17                   1.0000          False          
13                   18                   0.9998          False          
13                   19                   0.9972          False          
13                   20                   0.9968          False          
14                   15                   1.0000          False          
14                   16                   1.0000          False          
14                   17                   1.0000          False          
14                   18                   0.9995          False          
14                   19                   0.9934          False          
14                   20                   0.9926          False          
15                   16                   1.0000          False          
15                   17                   1.0000          False          
15                   18                   1.0000          False          
15                   19                   1.0000          False          
15                   20                   1.0000          False          
16                   17                   1.0000          False          
16                   18                   1.0000          False          
16                   19                   1.0000          False          
16                   20                   1.0000          False          
17                   18                   1.0000          False          
17                   19                   1.0000          False          
17                   20                   1.0000          False          
18                   19                   1.0000          False          
18                   20                   1.0000          False          
19                   20                   1.0000          False          
