Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,3.53617913003245e-59,True,Significant differences among groups
control_euclidean_vs_manhattan,euclidean,manhattan,4.7049490451756013e-05,True,Significant difference
control_euclidean_vs_clark,euclidean,clark,1.9513512827610186e-32,True,Significant difference
