Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,2.3553423820392107e-26,True,Significant differences among groups
control_euclidean_vs_manhattan,euclidean,manhattan,1.1178418042003098e-19,True,Significant difference
control_euclidean_vs_clark,euclidean,clark,9.128956947880477e-13,True,Significant difference
