Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=4k)_0",8,clark,4k,0,0.42171970380308577,0.5729467928211547,1.8977779888308486,0.22930892325437896,2350.9673630070606,0.9444401264190674
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=2k)_0",9,euclidean,2k,0,0.5506641872185204,0.6727157488949096,1.3233601759292817,0.2918959445670173,2817.014322932595,0.6305060386657715
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=3k)_0",9,euclidean,3k,0,0.4314598828613788,0.6500038025260564,1.169543485414412,0.3157861057022193,2591.647511657571,0.6615176200866699
"GlobalKMeansAlgorithm(k=9, Distance_Metric=euclidean, N_Buckets=4k)_0",9,euclidean,4k,0,0.538186257771223,0.671349370837136,1.2825083562849706,0.31984643522164063,2887.781745474358,0.6787781715393066
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=2k)_0",9,manhattan,2k,0,0.5269304489532619,0.6602185254670017,1.3514406127452367,0.28358885209842927,2711.7511727043457,0.581946849822998
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=3k)_0",9,manhattan,3k,0,0.47488502377114916,0.6469535504161011,1.2434495336073148,0.3113096674678878,2797.8492597237555,0.6743423938751221
"GlobalKMeansAlgorithm(k=9, Distance_Metric=manhattan, N_Buckets=4k)_0",9,manhattan,4k,0,0.4747408214887024,0.6467556247874247,1.2439871906409428,0.3110740367753959,2797.1226706634093,0.6728739738464355
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=2k)_0",9,clark,2k,0,0.44371928745504957,0.578992050214585,2.840522249774814,0.15692359153513835,1871.83093907025,1.1723880767822266
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=3k)_0",9,clark,3k,0,0.4372461524405198,0.58715433805792,2.3020711359999564,0.1571932687448767,1890.2141689058255,1.1712441444396973
"GlobalKMeansAlgorithm(k=9, Distance_Metric=clark, N_Buckets=4k)_0",9,clark,4k,0,0.4869629257599025,0.620039905392305,2.0635931204929316,0.19928213441598192,2299.8133189240784,1.162832498550415
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=2k)_0",10,euclidean,2k,0,0.530646793226919,0.6676161285909991,1.321993395163489,0.27924292438062953,2585.7554094173042,0.7858734130859375
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=3k)_0",10,euclidean,3k,0,0.4898284208251952,0.6721944813425181,1.17578493465095,0.3231819625516814,2731.174545960574,0.7195124626159668
"GlobalKMeansAlgorithm(k=10, Distance_Metric=euclidean, N_Buckets=4k)_0",10,euclidean,4k,0,0.553495438903146,0.6924498502314724,1.2857283041182597,0.32466767589506873,2803.047100782066,0.835822343826294
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=2k)_0",10,manhattan,2k,0,0.553744941494202,0.6817113900561991,1.4245531626611372,0.28560249065061744,2507.2089787495556,0.7452101707458496
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=3k)_0",10,manhattan,3k,0,0.4500504470557862,0.6328330306888246,1.324398583537894,0.29102192043512837,2593.8889674107004,0.7618973255157471
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=4k)_0",10,manhattan,4k,0,0.5245323127898643,0.6686605925109462,1.2808877945074497,0.3111126047133569,2765.5724034102623,0.8076236248016357
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=2k)_0",10,clark,2k,0,0.4832456513583448,0.62534184305565,1.7716740725985392,0.1900228863119841,2079.2519050580636,1.4259119033813477
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=3k)_0",10,clark,3k,0,0.48966528615336496,0.612263117948378,2.7568447308778325,0.18400434217431452,2058.464709635064,1.4261562824249268
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=4k)_0",10,clark,4k,0,0.49185551271105676,0.6143975504721835,2.2569290924671748,0.18551158594180805,2072.7718691121895,1.4123613834381104
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=2k)_0",11,euclidean,2k,0,0.5374343764721233,0.6958256437600749,1.2188289883023378,0.32454645093868967,2725.8919636445016,0.886646032333374
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=3k)_0",11,euclidean,3k,0,0.5375705818885793,0.6959416210014813,1.219873522005207,0.3248139458054696,2725.8574883688384,0.9747707843780518
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=4k)_0",11,euclidean,4k,0,0.5449868322624388,0.685982380947281,1.2664850875494045,0.3194616723183212,2656.913342416748,0.959378719329834
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=2k)_0",11,manhattan,2k,0,0.4629013207008298,0.6527344108524114,1.255881645480384,0.30095485055181176,2508.970643156585,0.8798999786376953
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=3k)_0",11,manhattan,3k,0,0.4911729768633057,0.6537709635080913,1.334592512764728,0.29028596357167663,2585.144235710928,0.8764255046844482
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=4k)_0",11,manhattan,4k,0,0.5021010652422345,0.6595570358380793,1.3049792772947777,0.2971981313484484,2601.414871422047,0.9302537441253662
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=2k)_0",11,clark,2k,0,0.2967900019709001,0.5096824413905621,2.1086785507965717,0.044836703975955766,1068.3744489974579,1.7154579162597656
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=3k)_0",11,clark,3k,0,0.44567314206198166,0.5827468750476804,2.6486885458993163,0.14511741992100619,1730.2135703282058,1.6905231475830078
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=4k)_0",11,clark,4k,0,0.4709960267239147,0.6119888620772485,2.9708126642759,0.17752688422583776,1987.8098227351304,1.8279633522033691
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=2k)_0",12,euclidean,2k,0,0.6035119031079311,0.7180316195298593,1.2847479001924322,0.2984651953364064,2683.7231858094115,1.0677094459533691
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=3k)_0",12,euclidean,3k,0,0.5702455096433703,0.7139477192082975,1.24547996818378,0.32854462387218575,2644.0128611687423,1.0015697479248047
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=4k)_0",12,euclidean,4k,0,0.5283914903862197,0.6869571704473528,1.2269279412768448,0.319164535412739,2610.7918462161224,1.0906836986541748
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=2k)_0",12,manhattan,2k,0,0.4883868844986604,0.6601324854602182,1.320370763618878,0.27450409852941504,2458.152542148429,1.1471500396728516
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=3k)_0",12,manhattan,3k,0,0.5070334016907974,0.6747839974589088,1.2605648802316527,0.3016507917636908,2536.2143542918366,1.1475462913513184
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=4k)_0",12,manhattan,4k,0,0.5523146023410164,0.6770846207444606,1.373399735647941,0.2691434206693426,2534.0306104478386,1.0776574611663818
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=2k)_0",12,clark,2k,0,0.4198408820940963,0.5910059767296623,2.190632914245312,0.1569748397046696,1800.166353645577,2.0695981979370117
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=3k)_0",12,clark,3k,0,0.4466678227831185,0.6024171120749363,2.1578649462470025,0.17136190218761777,1904.0298776776112,2.004789113998413
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=4k)_0",12,clark,4k,0,0.43088894029896624,0.5919730259081364,2.470128054644066,0.1636299512546672,1760.8375449066634,2.04998517036438
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=2k)_0",13,euclidean,2k,0,0.5938357517276686,0.7132855357002376,1.2678249959294305,0.288881124163798,2528.673971019406,1.2328712940216064
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=3k)_0",13,euclidean,3k,0,0.5099060653242155,0.6917661105930256,1.2212889971698084,0.3090873398603858,2446.7385967551954,1.2857437133789062
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=4k)_0",13,euclidean,4k,0,0.5858396342826654,0.7055714936475435,1.2879257870770475,0.2931884333589687,2594.4333806610184,1.2260055541992188
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=2k)_0",13,manhattan,2k,0,0.5152889320065553,0.6808913178278514,1.356082668735606,0.2717320389440072,2337.3913551744354,1.3198013305664062
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=3k)_0",13,manhattan,3k,0,0.5281463425447378,0.6870174525694265,1.284216838797562,0.3055104229419426,2485.0869219815827,1.2837066650390625
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=4k)_0",13,manhattan,4k,0,0.5596322667379657,0.6915652269711603,1.3135075551329645,0.27733312203129173,2507.18589183073,1.1969285011291504
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=2k)_0",13,clark,2k,0,0.45243478230680406,0.6063529450445048,2.3354894364306285,0.14536437561986312,1687.3043527487298,2.474341630935669
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=3k)_0",13,clark,3k,0,0.38570819998342554,0.5597773096191749,2.5264356747597816,0.08621517574223042,1435.5503742793487,2.541375160217285
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=4k)_0",13,clark,4k,0,0.43016476014406607,0.5917190230020168,2.360480493196603,0.15524270703167883,1763.5084645408635,2.5012083053588867
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=2k)_0",14,euclidean,2k,0,0.5647776095762331,0.7027949366502522,1.27873826044369,0.2817693102942545,2424.909803981788,1.3860344886779785
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=3k)_0",14,euclidean,3k,0,0.5372042582151608,0.7052901358473165,1.2621379370087555,0.31084130353251055,2418.605899358908,1.3666856288909912
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=4k)_0",14,euclidean,4k,0,0.619340532840006,0.72695258831717,1.3031774541756225,0.294874342514836,2549.9035943914814,1.7617826461791992
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=2k)_0",14,manhattan,2k,0,0.5608332858943655,0.6981975349632226,1.3534883842032475,0.2699452017212801,2392.3142635246927,1.2968978881835938
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=3k)_0",14,manhattan,3k,0,0.5263793739778145,0.6896901735298577,1.3493516927473352,0.30163488599203103,2355.1083717577067,1.3923296928405762
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=4k)_0",14,manhattan,4k,0,0.5708454877336676,0.692040770360688,1.4185463057647607,0.2639983187282765,2363.7159917984595,2.2315425872802734
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=2k)_0",14,clark,2k,0,0.393753502499824,0.5821377514940663,1.8830487474523399,0.12764563065578272,1563.4372905018738,4.215322017669678
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=3k)_0",14,clark,3k,0,0.30307595885345195,0.5455391834854925,2.0475941965238595,0.06260343337813991,1132.1643871521944,4.229118824005127
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=4k)_0",14,clark,4k,0,0.4131027815574593,0.6020217656806734,1.9931711007292763,0.1323888514835746,1709.5793443044433,4.284086465835571
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=2k)_0",15,euclidean,2k,0,0.6004365881493555,0.7262433609626393,1.3337207601372127,0.2892367100405824,2489.785415170261,2.5041868686676025
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=3k)_0",15,euclidean,3k,0,0.5232132985721472,0.7058315863765973,1.252768062646587,0.30872834099999236,2355.7606997332086,2.6278152465820312
"GlobalKMeansAlgorithm(k=15, Distance_Metric=euclidean, N_Buckets=4k)_0",15,euclidean,4k,0,0.5964170230182156,0.7255326280899587,1.329312086068914,0.28876749498327847,2497.0190516622397,2.647416830062866
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=2k)_0",15,manhattan,2k,0,0.5831983564023036,0.708664058740235,1.3639233321251116,0.2720210754236436,2372.348809828162,2.5051469802856445
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=3k)_0",15,manhattan,3k,0,0.5498665741285709,0.6914979772352163,1.3989636458805823,0.2721910424866715,2358.7669437291324,2.524134874343872
"GlobalKMeansAlgorithm(k=15, Distance_Metric=manhattan, N_Buckets=4k)_0",15,manhattan,4k,0,0.6029050302075966,0.7201049625505256,1.3282087444279254,0.2791947345142662,2346.3939130439758,2.539839744567871
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=2k)_0",15,clark,2k,0,0.4603101844850637,0.6275098493145764,2.0748335872162493,0.16037879326051557,1694.375311473222,4.805027723312378
"GlobalKMeansAlgorithm(k=15, Distance_Metric=clark, N_Buckets=3k)_0",15,clark,3k,0,0.40305836894980435,0.5955272561062598,2.4189623246837684,0.12011247496988695,1575.1903170508638,4.81162691116333
