Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,eigen_tol,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_2",10,150,kmeans,arpack,0.001,2,0.6036183834141455,0.7660868327196964,1.3110171202243943,0.28718151226533833,2595.8379031076406,10,11.547666072845459
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_3",10,150,kmeans,arpack,0.001,3,0.6036183834141455,0.7660868327196964,1.3110171202243943,0.28718151226533833,2595.8379031076406,10,11.462862491607666
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_4",10,150,kmeans,arpack,0.001,4,0.6036183834141455,0.7660868327196964,1.311017120224394,0.28718151226533833,2595.83790310764,10,11.484488725662231
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_5",10,150,kmeans,arpack,0.001,5,0.6036412856662396,0.7662616502331678,1.3109756418621086,0.2871588894163568,2595.763497786974,10,11.717093467712402
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_6",10,150,kmeans,arpack,0.001,6,0.6898557467370696,0.7811279231960462,1.5259657607398456,0.27458205424668164,2508.9198065426394,10,11.55914831161499
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_7",10,150,kmeans,arpack,0.001,7,0.6036183834141455,0.7660868327196964,1.311017120224394,0.28718151226533833,2595.83790310764,10,11.598353624343872
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_8",10,150,kmeans,arpack,0.001,8,0.6036183834141455,0.7660868327196965,1.311017120224394,0.28718151226533833,2595.837903107642,10,11.441439628601074
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=arpack, eigen_tol=0.001)_9",10,150,kmeans,arpack,0.001,9,0.6036412856662396,0.766261650233168,1.3109756418621084,0.2871588894163568,2595.7634977869743,10,11.278209209442139
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_0",10,150,cluster_qr,lobpcg,0.001,0,0.609804147666539,0.7639113743574197,1.3184241962535583,0.289051400515916,2609.013600172133,10,1.480515956878662
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=cluster_qr, eigen_solver=lobpcg, eigen_tol=0.001)_1",10,150,cluster_qr,lobpcg,0.001,1,0.6097360312387163,0.763950946266801,1.3183001944616974,0.2890597620137124,2608.8767635366175,10,1.3286070823669434
