Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_8",15,manhattan,8,0.5655948766336816,0.6889567867313212,1.5001391630959389,0.250239017983743,2136.578357494124,0.10370540618896484
"KMeansAlgorithm(k=15, Distance_Metric=manhattan)_9",15,manhattan,9,0.49032385569629233,0.6721611120500933,1.450938863817212,0.2596741628646967,2097.1597983752968,0.10538959503173828
"KMeansAlgorithm(k=15, Distance_Metric=clark)_0",15,clark,0,0.3144906730714252,0.549562404617387,2.0258967918384756,0.0291146848242191,1096.3487670793322,0.21274423599243164
"KMeansAlgorithm(k=15, Distance_Metric=clark)_1",15,clark,1,0.4047826748556533,0.5891432849268251,2.6180329807671696,0.1291642778666838,1492.4323937154384,0.21919703483581543
"KMeansAlgorithm(k=15, Distance_Metric=clark)_2",15,clark,2,0.4433724016039257,0.6088317790251898,2.551987601169299,0.14589953525482968,1593.2908711592574,0.2084183692932129
"KMeansAlgorithm(k=15, Distance_Metric=clark)_3",15,clark,3,0.4663072024450414,0.633641877993073,2.2193732801585586,0.17795882962284967,1777.0488695059498,0.21537446975708008
"KMeansAlgorithm(k=15, Distance_Metric=clark)_4",15,clark,4,0.41166054219520276,0.5983436681676062,2.10710513887875,0.12246229231399369,1647.1846257543116,0.2136235237121582
"KMeansAlgorithm(k=15, Distance_Metric=clark)_5",15,clark,5,0.402464728919613,0.5913079050008959,2.257988590903984,0.1330870284037646,1540.894801051935,0.2076418399810791
"KMeansAlgorithm(k=15, Distance_Metric=clark)_6",15,clark,6,0.4386232444399464,0.6261744900187832,2.0565689481273584,0.14862437430235476,1695.1093988471944,0.21391606330871582
"KMeansAlgorithm(k=15, Distance_Metric=clark)_7",15,clark,7,0.3515201942671218,0.5547285731371132,2.5934492973316847,0.08933295400957694,1308.8946375734001,0.21660423278808594
"KMeansAlgorithm(k=15, Distance_Metric=clark)_8",15,clark,8,0.4075194763621688,0.6071963922646635,2.273524178063584,0.09889137212330532,1490.0025334463628,0.21361780166625977
"KMeansAlgorithm(k=15, Distance_Metric=clark)_9",15,clark,9,0.4191658300241673,0.5977287946567174,2.220327777444909,0.11527089499166177,1487.490183684391,0.22158479690551758
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_0",16,euclidean,0,0.5621668640830753,0.7132140842322247,1.3588531769523389,0.28207918433194723,2402.3410060952297,0.11583137512207031
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_1",16,euclidean,1,0.5416546465109584,0.6982388751082813,1.4163423505979271,0.2602065967237007,2244.1895797208877,0.11413121223449707
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_2",16,euclidean,2,0.5367852998518484,0.689463933562095,1.3319857804056587,0.2672370851866959,2242.5999749137522,0.11766910552978516
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_3",16,euclidean,3,0.5237014147379299,0.6795298934299626,1.3486274566922964,0.2715075988652316,2197.188548019206,0.11835384368896484
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_4",16,euclidean,4,0.5445721794756064,0.680024889846624,1.4386588787607222,0.2559314712355492,2108.463570563838,0.11334729194641113
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_5",16,euclidean,5,0.5452292458515628,0.6895849291668944,1.4238052467465578,0.26132555674259594,2221.846884614258,0.11361289024353027
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_6",16,euclidean,6,0.5441967573852103,0.7008813802244932,1.3606844871930968,0.27396074509403323,2255.4462157163975,0.11776280403137207
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_7",16,euclidean,7,0.5489328881857749,0.7025232246664354,1.3887102304650614,0.2610548611270624,2297.938976897482,0.11519479751586914
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_8",16,euclidean,8,0.5509958429769181,0.6945150532810525,1.3644220149088908,0.26818214205126345,2216.3685743412225,0.11304998397827148
"KMeansAlgorithm(k=16, Distance_Metric=euclidean)_9",16,euclidean,9,0.592372338184406,0.7169868066896696,1.2976555866021877,0.2856450393547573,2350.208591666009,0.1153557300567627
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_0",16,manhattan,0,0.5075194708099807,0.6499897207991756,1.5261211604714697,0.23886525490839802,2021.6314048120414,0.11475706100463867
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_1",16,manhattan,1,0.5003294529477793,0.6618317030462736,1.4703772827215773,0.2472971496646564,1963.595094878263,0.11053919792175293
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_2",16,manhattan,2,0.538004901790777,0.6824976147310788,1.4676011918182548,0.2586702490400763,2195.6300915938173,0.10980558395385742
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_3",16,manhattan,3,0.5229264508538803,0.6782953779044999,1.5194929598309141,0.23819026034168034,2177.12802481196,0.11151456832885742
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_4",16,manhattan,4,0.5403584471807902,0.6893444985821757,1.4205274394131748,0.25786880284817054,2128.2751195111387,0.1114659309387207
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_5",16,manhattan,5,0.4693849484300565,0.6701012410021495,1.4194510949284957,0.25343690108389905,2025.2285481430388,0.11499667167663574
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_6",16,manhattan,6,0.5200684442453668,0.6608257372613178,1.5283087018072292,0.24002198764555596,2125.2783938934504,0.11141014099121094
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_7",16,manhattan,7,0.5401688029112386,0.6687566622432167,1.6042083201542292,0.23523589514078713,2009.0157629791656,0.11799001693725586
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_8",16,manhattan,8,0.5136500284240823,0.6806203382507029,1.3487014952865972,0.26825616981622524,2251.1151761496535,0.11123394966125488
"KMeansAlgorithm(k=16, Distance_Metric=manhattan)_9",16,manhattan,9,0.5488010315888235,0.6885283266699451,1.5151488032983278,0.25291009536012654,2172.0415068952757,0.10889863967895508
"KMeansAlgorithm(k=16, Distance_Metric=clark)_0",16,clark,0,0.3710388770389635,0.5735257788947296,2.446095816676607,0.05188490003467717,1216.50825561319,0.23341941833496094
"KMeansAlgorithm(k=16, Distance_Metric=clark)_1",16,clark,1,0.3655999116466705,0.5897993921731625,1.7262537302674807,0.09017414952019992,1356.6969766170776,0.2359600067138672
"KMeansAlgorithm(k=16, Distance_Metric=clark)_2",16,clark,2,0.29838787576631437,0.541425535209979,1.97641401834471,0.03829108855139678,1063.4905418822284,0.22762846946716309
"KMeansAlgorithm(k=16, Distance_Metric=clark)_3",16,clark,3,0.41894206750672486,0.6095158969103478,2.1895039486595937,0.12020582341158167,1551.980559779906,0.24020695686340332
"KMeansAlgorithm(k=16, Distance_Metric=clark)_4",16,clark,4,0.38898878326526737,0.5686939929024083,2.367612100628774,0.10192347288733736,1376.608097905108,0.2253272533416748
"KMeansAlgorithm(k=16, Distance_Metric=clark)_5",16,clark,5,0.2871239960526642,0.5500216334265853,1.8702499444111593,0.018426904146053323,989.4029664074054,0.2354576587677002
"KMeansAlgorithm(k=16, Distance_Metric=clark)_6",16,clark,6,0.4513677266381527,0.6172572382240641,2.557883366532359,0.13324426540547912,1568.9698309394637,0.2372875213623047
"KMeansAlgorithm(k=16, Distance_Metric=clark)_7",16,clark,7,0.4621703323842743,0.6256232366395663,1.993239863664481,0.16222781016207194,1602.2355278431162,0.2230677604675293
"KMeansAlgorithm(k=16, Distance_Metric=clark)_8",16,clark,8,0.3878592938410452,0.595320312215143,1.6650062615505206,0.16561703907823458,1579.2634821781094,0.23047137260437012
"KMeansAlgorithm(k=16, Distance_Metric=clark)_9",16,clark,9,0.3415480985436631,0.5577923089408484,2.456544359994112,0.05844461901175914,1140.762668584152,0.23239755630493164
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_0",17,euclidean,0,0.5152040482621068,0.6760282686905649,1.4321833906629255,0.2508285986812792,2165.9627538466125,0.11819767951965332
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_1",17,euclidean,1,0.5729937158833968,0.7091625754078777,1.3448103173491797,0.2767592449182463,2213.1960820309596,0.12853312492370605
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_2",17,euclidean,2,0.48755501569827947,0.6619658052482664,1.5002875212052802,0.226626441664423,2002.7754022022928,0.12288427352905273
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_3",17,euclidean,3,0.4930693532768031,0.672693559620048,1.4935317424239702,0.23100986009864796,2043.4479406904745,0.11951589584350586
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_4",17,euclidean,4,0.5508061376924205,0.7012727344881297,1.3276714947830668,0.2752128598709443,2184.249168469933,0.12160992622375488
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_5",17,euclidean,5,0.5543296778153477,0.7042392399029545,1.4077325245717116,0.2712763166947916,2292.4629221651553,0.12327003479003906
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_6",17,euclidean,6,0.5561057494208236,0.7143737453704256,1.4185135701257874,0.27177975982411284,2319.3065426428334,0.12633275985717773
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_7",17,euclidean,7,0.5379188589880327,0.6964756757510506,1.3235812989558542,0.28116626638742453,2171.447132367994,0.11949658393859863
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_8",17,euclidean,8,0.5834692672351843,0.7257109955346583,1.3969249325315547,0.2783948771474258,2291.700306987764,0.11641359329223633
"KMeansAlgorithm(k=17, Distance_Metric=euclidean)_9",17,euclidean,9,0.5717615262580796,0.6903515819848834,1.5048794779797254,0.25407590768385063,1921.187787200415,0.11928868293762207
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_0",17,manhattan,0,0.5185750022979201,0.6834741129473666,1.3952293969137084,0.24143983375698527,2083.2519077653515,0.11500692367553711
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_1",17,manhattan,1,0.5437107245306059,0.6828467710860299,1.4272812050197219,0.2523262281007591,2071.855887057897,0.1179802417755127
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_2",17,manhattan,2,0.514455853315045,0.6793911240232279,1.466187788830769,0.23807442378714228,2081.513498333408,0.11961579322814941
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_3",17,manhattan,3,0.5697885546480536,0.6934575471087197,1.454937166554105,0.26526315003381007,2107.3600142700075,0.11768770217895508
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_4",17,manhattan,4,0.5572116916390593,0.7046272198466973,1.4121083854313192,0.2533740373445662,2125.488968279603,0.11569619178771973
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_5",17,manhattan,5,0.5197817082408965,0.6770455838279439,1.4272363916166113,0.2536574457476943,2081.2913799033086,0.11689448356628418
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_6",17,manhattan,6,0.5291690560539823,0.6858294462652915,1.41149623073798,0.2466450720142704,2087.3899093113723,0.12968659400939941
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_7",17,manhattan,7,0.5344383140890165,0.6898820853747802,1.4840252805323422,0.24319855597400286,1976.2017818984136,0.11698246002197266
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_8",17,manhattan,8,0.5540428697970293,0.6965401372571355,1.4858696869877621,0.24789125541648427,2076.897074873176,0.11531329154968262
"KMeansAlgorithm(k=17, Distance_Metric=manhattan)_9",17,manhattan,9,0.5105480725452588,0.6711213604048331,1.462459202570438,0.24789502208979242,2104.74827520826,0.1286773681640625
"KMeansAlgorithm(k=17, Distance_Metric=clark)_0",17,clark,0,0.38886519752384713,0.5888917951087357,2.711794003012656,0.09351101544625101,1487.353454574362,0.25638628005981445
"KMeansAlgorithm(k=17, Distance_Metric=clark)_1",17,clark,1,0.4149730313823223,0.5901839658731729,2.144598292519503,0.1117162041691149,1349.0220922606456,0.243316650390625
"KMeansAlgorithm(k=17, Distance_Metric=clark)_2",17,clark,2,0.38166347933530936,0.5670632223952501,2.637034405272328,0.08565326920416497,1215.7360652380412,0.25141382217407227
"KMeansAlgorithm(k=17, Distance_Metric=clark)_3",17,clark,3,0.41146588774171267,0.6071655069426583,2.1499773580689716,0.14106115246607287,1468.05611392472,0.2508997917175293
"KMeansAlgorithm(k=17, Distance_Metric=clark)_4",17,clark,4,0.36993448126039474,0.5714166108130598,1.9984707968136646,0.09750043695513101,1228.890909751642,0.255673885345459
"KMeansAlgorithm(k=17, Distance_Metric=clark)_5",17,clark,5,0.3814350757600287,0.5642040852020334,2.771379616565256,0.11052042086717047,1278.7685487607437,0.2474958896636963
"KMeansAlgorithm(k=17, Distance_Metric=clark)_6",17,clark,6,0.430514146742337,0.6089538226543668,2.2660418245542697,0.14919809286289948,1547.6335617897125,0.24413013458251953
"KMeansAlgorithm(k=17, Distance_Metric=clark)_7",17,clark,7,0.43305232287816764,0.6121820102181162,2.7165992398316696,0.10953515345996151,1455.7714046670394,0.2468395233154297
"KMeansAlgorithm(k=17, Distance_Metric=clark)_8",17,clark,8,0.38926778198630174,0.5860992156932451,2.065955675608895,0.1095121001753482,1351.29884002409,0.24680852890014648
"KMeansAlgorithm(k=17, Distance_Metric=clark)_9",17,clark,9,0.4601444642719751,0.6324999920258633,2.46912379271092,0.1595785314698402,1575.2079773679336,0.24252581596374512
